,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
448,N/A,N/A,shw,N/A,N/A,N/A,N/A,N/A,471.66,37.16,3.47,27.73,9.35,13.34,8.10,61.65,75.98,67569999999.99999,78900000000.0,27.47,3.67,3.96,25.00,19940000000.0,8539999999.999999,3230000000.0,1860000000.0,6.98,25.30,6.10,165700000.0,0.64,11500000000.0,0.88,9.38,2240000000.0,1470000000.0,1.17,8.35,79.32,2550000.0,1.55,1.07,2800000.0,N/A
449,N/A,N/A,sial,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
450,N/A,N/A,siri,N/A,N/A,N/A,N/A,N/A,N/A,20.69,3.15,N/A,15.11,23.40,12.34,N/A,2.14,26140000000.0,35190000000.0,20.70,1.84,4.05,13.94,8700000000.0,4400000000.0,2570000000.0,1310000000.0,0.32,N/A,4.20,191000000.0,0.05,9240000000.0,0.40,0.66,1150000000.0,1150000000.0,0.96,82.20,12.17,209650000.0,8.89,28.03,201000000.0,N/A
451,N/A,N/A,sjm,N/A,N/A,N/A,N/A,N/A,54.81,25.41,1.86,1.78,7.31,14.16,4.31,7.00,72.63,14690000000.0,18930000000.0,15.27,4.30,2.40,13.50,7890000000.0,3140000000.0,1580000000.0,576600000.0,5.30,73.30,0.90,284300000.0,2.62,4530000000.0,1.19,76.22,1030000000.0,557830000.0,0.31,4.37,86.18,6010000.0,5.8,6.52,6450000.0,N/A
452,N/A,N/A,sks,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,N/A
453,N/A,N/A,slb,N/A,N/A,N/A,N/A,N/A,98.19,32.30,2.65,4.02,8.20,12.06,4.12,13.88,16.38,60240000000.0,71300000000.0,22.99,0.93,3.11,14.17,22930000000.0,3660000000.0,4470000000.0,1880000000.0,1.32,60.70,12.50,3140000000.0,2.24,15010000000.0,1.22,10.69,4650000000.0,2100000000.0,2.04,0.16,78.29,21070000.0,1.11,1.49,21570000.0,N/A
454,N/A,N/A,slm,N/A,N/A,N/A,N/A,N/A,275.91,5.17,2.94,2.74,56.33,74.82,3.87,49.25,6.54,5210000000.0,N/A,6.27,0.58,N/A,N/A,2060000000.0,2060000000.0,N/A,1160000000.0,3.61,29.20,21.70,4370000000.0,15.65,5930000000.0,1.27,6.81,49520000.0,N/A,1.26,0.67,97.78,8640000.0,3.08,3.11,6610000.0,N/A
455,N/A,N/A,sna,N/A,N/A,N/A,N/A,N/A,30.00,14.12,2.52,2.69,17.83,24.75,10.69,20.90,85.38,11260000000.0,11730000000.0,14.29,1.82,2.55,9.42,4600000000.0,2380000000.0,1230000000.0,820500000.0,14.92,7.10,2.30,779900000.0,14.59,1260000000.0,3.11,78.27,966600000.0,459360000.0,1.20,1.64,91.24,4400000.0,11.14,9.53,4340000.0,N/A
456,N/A,N/A,sndk,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,N/A
457,N/A,N/A,sne,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
458,N/A,N/A,sni,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,N/A
459,N/A,N/A,snts,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,N/A
460,N/A,N/A,so,N/A,N/A,N/A,N/A,N/A,170.41,32.17,3.33,2.74,10.35,17.67,2.04,7.05,21.78,76400000000.0,130360000000.00002,20.20,3.22,5.64,15.55,23110000000.0,10060000000.0,8060000000.000001,2390000000.0,2.24,N/A,12.70,1800000000.0,1.7,55500000000.0,0.82,26.30,6170000000.0,2180000000.0,0.50,0.21,61.55,16600000.000000002,2.43,1.57,14770000.0,N/A
461,N/A,N/A,spg,N/A,N/A,N/A,N/A,N/A,586.90,20.19,8.87,13.67,43.98,47.14,4.40,63.75,15.57,45370000000.0,70710000000.0,25.45,2.92,13.82,14.59,5110000000.0,4139999999.9999995,3690000000.0,2250000000.0,6.84,85.10,17.30,533940000.00000006,1.62,25830000000.0,0.37,10.10,3640000000.0,1690000000.0,1.52,0.49,90.08,9640000.0,4.19,3.94,10030000.0,N/A
462,N/A,N/A,spls,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,N/A
463,N/A,N/A,srcl,N/A,N/A,N/A,N/A,N/A,82.26,N/A,2.05,2.26,1.05,8.84,2.65,1.11,28.83,5420000000.0,7340000000.0,27.25,2.48,2.77,24.77,2650000000.0,458000000.0,458000000.0,27800000.0,0.30,N/A,0.20,55600000.0,0.61,1980000000.0,0.79,26.10,303100000.0,319580000.0,1.31,0.15,103.83,2510000.0,4.7,2.74,2730000.0,N/A
464,N/A,N/A,sre,N/A,N/A,N/A,N/A,N/A,93.33,41.13,4.02,2.07,10.24,21.65,2.51,5.58,41.24,52060000000.0,77060000000.0,19.42,3.01,5.99,23.55,12860000000.0,4710000000.0,4640000000.0,1250000000.0,4.01,33.40,21.20,559000000.0,1.77,25590000000.0,0.44,79.15,3840000000.0,315000000.0,0.62,0.06,88.25,4040000.0,2.2,1.28,4330000.0,N/A
465,N/A,N/A,sti,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
466,N/A,N/A,stj,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,N/A
467,N/A,N/A,stt,N/A,N/A,N/A,N/A,N/A,N/A,12.79,3.01,1.33,22.33,28.84,0.86,10.06,34.21,33670000000.0,N/A,10.87,1.43,N/A,N/A,12060000000.0,12060000000.0,N/A,2570000000.0,7.19,29.80,4.90,117870000000.0,321.98,25640000000.0,N/A,69.37,6710000000.0,N/A,1.56,0.25,94.13,2750000.0,1.17,0.75,3480000.0,N/A
468,N/A,N/A,stx,N/A,N/A,N/A,N/A,N/A,115.21,11.87,1.81,38.97,15.35,17.25,14.06,242.48,52.64,20500000000.0,24830000000.0,9.63,1.02,2.07,9.79,11980000000.0,2920000000.0,2480000000.0,1840000000.0,7.93,78.90,18.80,1540000000.0,7.03,5870000000.0,1.49,2.40,1870000000.0,802880000.0,1.06,0.40,84.60,6470000.0,2.96,3.72,6660000.0,N/A
469,N/A,N/A,stz,N/A,N/A,N/A,N/A,N/A,90.09,N/A,5.14,3.87,0.61,33.72,6.88,0.11,45.24,43330000000.0,53370000000.0,19.12,2.66,6.15,54.39,8670000000.0,4570000000.0,3250000000.0,52900000.0,0.28,63.20,4.80,361300000.0,1.93,10400000000.0,1.50,59.93,2890000000.0,1760000000.0,1.19,4.50,84.23,1240000.0,1.03,0.79,1390000.0,N/A
470,N/A,N/A,swk,N/A,N/A,N/A,N/A,N/A,60.77,15.22,1.55,2.18,10.82,12.92,4.87,14.11,98.37,23920000000.0,31110000000.0,12.00,N/A,1.99,12.94,15620000000.0,5230000000.0,2590000000.0,1590000000.0,10.16,29.80,7.70,143500000.0,0.88,7040000000.0,0.97,67.17,663100000.0,160810000.0,1.39,0.30,89.89,7520000.0,3.43,4.61,2760000.0,N/A
471,N/A,N/A,swn,N/A,N/A,N/A,N/A,N/A,219.51,1.07,0.83,3.06,0.37,4.29,2.10,1.64,8.44,7800000000.0,13360000000.0,5.38,0.49,2.00,20.34,6670000000.0,3540000000.0,832000000.0,25000000.0,0.03,N/A,278.30,28000000.0,0.03,5590000000.0,0.46,2.29,1360000000.0,749750000.0,1.11,0.57,86.87,79370000.0,2.47,9.52,74680000.0,N/A
472,N/A,N/A,swy,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
473,N/A,N/A,syk,N/A,N/A,N/A,N/A,N/A,86.72,52.39,6.10,6.93,11.65,21.36,6.62,14.26,45.38,103100000000.0,112560000000.0,27.86,2.58,6.58,30.61,17110000000.0,11260000000.0,4650000000.0,1990000000.0,5.21,16.50,10.30,3020000000.0,12900000000.0,12900000000.0,2.20,39.41,3260000000.0,2650000000.0,0.99,7.10,76.39,4850000.0,3.12,1.38,4550000.0,N/A
474,N/A,N/A,symc,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
