,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
45,N/A,N/A,cat,N/A,N/A,N/A,N/A,N/A,232.78,18.68,2.38,7.19,12.73,16.23,6.42,40.72,93.70,118450000000.0,146990000000.0,17.92,1.77,2.88,13.31,50970000000.0,13190000000.0,10540000000.0,6490000000.0,11.83,171.80,22.80,9390000000.0,17.53,38450000000.0,1.46,30.76,7200000000.0,6950000000.0,0.92,0.20,69.18,4910000.0,1.05,0.92,6430000.0,N/A
46,N/A,N/A,cbs,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
47,N/A,N/A,cci,N/A,N/A,N/A,N/A,N/A,327.07,68.87,12.59,9.62,17.29,31.91,3.25,13.07,14.68,79470000000.0,106190000000.0,46.95,4.05,16.75,30.73,6340000000.0,4350000000.0,3610000000.0,1160000000.0,2.53,30.50,10.80,292000000.0,0.68,27010000000.0,0.62,19.12,2730000000.0,1360000000.0,0.56,0.48,93.06,3570000.0,1.6,0.95,3910000.0,N/A
48,N/A,N/A,celg,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
49,N/A,N/A,cern,N/A,N/A,N/A,N/A,N/A,52.93,50.86,4.89,7.46,9.64,18.87,9.09,13.61,19.30,27450000000.0,28450000000.0,25.51,2.73,4.93,19.46,5760000000.0,4760000000.0,1550000000.0,555600000.0,1.84,23.60,4.10,842470000.0,2.87,1950000000.0,1.51,12.57,1770000000.0,1180000000.0,0.81,0.17,85.10,8750000.0,2.22,3.36,7840000.0,N/A
50,N/A,N/A,cf,N/A,N/A,N/A,N/A,N/A,61.56,23.53,3.30,6.45,14.03,34.23,11.47,21.65,30.41,20680000000.0,22770000000.0,5.13,1.20,3.48,8.74,6540000000.0,2390000000.0,3130000000.0,917000000.0,4.24,710.30,130.50,1630000000.0,7.85,3720000000.0,1.81,15.44,2870000000.0,2180000000.0,0.99,0.40,95.77,4770000.0,0.85,2.99,7180000.0,N/A
51,N/A,N/A,chrw,N/A,N/A,N/A,N/A,N/A,110.11,17.53,0.64,6.92,3.65,4.68,11.11,43.27,174.38,14000000000.0,15970000000.0,17.33,2.75,0.69,13.61,23100000000.0,1610000000.0,1150000000.0,844240000.0,6.31,55.70,42.90,257410000.00000003,2230000000.0,2230000000.0,1.44,15.65,94950000.0,93290000.0,0.76,1.19,96.09,10800000.0,6.68,11.83,10770000.0,N/A
52,N/A,N/A,cl,N/A,N/A,N/A,N/A,N/A,808.86,29.88,3.71,105.18,12.43,21.99,15.47,225.68,20.62,64050000000.0,71050000000.0,22.94,3.42,4.08,18.53,17420000000.0,10380000000.0,4390000000.0,2170000000.0,2.55,77.10,1.80,871000000.0,1.04,7850000000.0,1.09,0.73,3320000000.0,2150000000.0,0.61,0.09,80.89,9950000.0,2.14,1.26,9340000.0,N/A
53,N/A,N/A,clx,N/A,N/A,N/A,N/A,N/A,657.43,68.81,2.47,54.92,3.49,10.20,6.92,27.36,57.12,17190000000.0,20230000000.0,24.63,6.07,2.86,31.85,7080000000.0,3200000000.0,933000000.0,247000000.0,1.97,73.40,8.20,216000000.0,1.75,3230000000.0,0.67,2.55,869000000.0,367000000.0,0.22,0.85,79.48,4920000.0,3.38,4.57,5200000.0,N/A
54,N/A,N/A,cmcsa,N/A,N/A,N/A,N/A,N/A,109.44,15.72,1.91,2.25,12.17,17.89,4.73,14.48,25.39,216600000000.0,302740000000.0,13.39,0.98,2.60,8.14,116380000000.0,77940000000.0,34620000000.0,14160000000.0,3.04,9.60,9.50,8710000000.0,1.92,107260000000.0,0.85,21.20,29150000000.0,12840000000.0,0.94,0.70,85.33,69790000.0,2.96,1.55,66209999.99999999,N/A
55,N/A,N/A,cme,N/A,N/A,N/A,N/A,N/A,14.69,33.04,18.44,3.16,56.34,55.66,1.01,9.81,13.06,86580000000.0,87080000000.0,32.36,5.84,18.57,22.18,4680000000.0,4680000000.0,2990000000.0,2620000000.0,7.29,47.50,4.50,2950000000.0,8.21,4030000000.0000005,1.01,76.41,2400000000.0,2040000000.0,0.44,0.44,88.91,3970000.0,2.3,1.11,4850000.0,N/A
